clave_inegi,entidad,anio,mortalidad
11,Guanajuato,2002,35.918259883344135
11,Guanajuato,2003,36.90051847051199
11,Guanajuato,2004,39.79666234607907
11,Guanajuato,2005,42.02446532728451
11,Guanajuato,2006,42.35863577446533
11,Guanajuato,2007,45.31553791315619
11,Guanajuato,2008,49.295204147764096
11,Guanajuato,2009,50.39897926117952
11,Guanajuato,2010,52.84956254050551
11,Guanajuato,2011,50.71289695398574
11,Guanajuato,2012,55.755832793259884
11,Guanajuato,2013,58.11527867790019
11,Guanajuato,2014,63.370868438107586
11,Guanajuato,2015,62.39873622812703
11,Guanajuato,2016,66.00372650680492
11,Guanajuato,2017,68.04925469863902
11,Guanajuato,2018,63.330362929358394
12,Guerrero,2001,12.06051523007129
12,Guerrero,2002,13.204795852235904
12,Guerrero,2003,14.90602721970188
12,Guerrero,2004,15.38196694750486
12,Guerrero,2005,17.316104990278678
12,Guerrero,2006,16.809786130913803
12,Guerrero,2007,19.685677252106288
12,Guerrero,2008,21.68057355800389
12,Guerrero,2009,23.948882047958524
12,Guerrero,2010,25.933651976668827
12,Guerrero,2011,27.35134478289047
12,Guerrero,2012,29.143713545042125
12,Guerrero,2013,30.277867790019442
12,Guerrero,2014,31.260126377187298
12,Guerrero,2015,39.219458846403114
12,Guerrero,2016,36.768875567077124
12,Guerrero,2017,37.720755022683086
12,Guerrero,2018,35.229666234607905
13,Hidalgo,2001,12.323801036941024
13,Hidalgo,2002,12.587086843810757
13,Hidalgo,2003,12.890878159429683
13,Hidalgo,2004,13.98452689565781
13,Hidalgo,2005,15.726263771872974
13,Hidalgo,2006,16.58700583279326
13,Hidalgo,2007,17.54901166558652
13,Hidalgo,2008,19.19961114711601
13,Hidalgo,2009,18.855314322747894
13,Hidalgo,2010,21.68057355800389
13,Hidalgo,2011,21.447666882696048
13,Hidalgo,2012,22.379293583927414
13,Hidalgo,2013,22.429925469863903
13,Hidalgo,2014,23.645090732339597
13,Hidalgo,2015,26.541234607906674
13,Hidalgo,2016,27.553872326636423
13,Hidalgo,2017,27.59437783538561
13,Hidalgo,2018,27.209575502268308
14,Jalisco,2001,41.82193778353856
14,Jalisco,2002,46.68259883344135
14,Jalisco,2003,49.04204471808166
14,Jalisco,2004,51.77616655865198
14,Jalisco,2005,54.854585223590405
14,Jalisco,2006,54.72294232015554
14,Jalisco,2007,54.24700259235256
14,Jalisco,2008,58.91526247569669
14,Jalisco,2009,63.269604666234606
14,Jalisco,2010,64.66704471808166
14,Jalisco,2011,65.52778677900194
14,Jalisco,2012,63.90756642903435
14,Jalisco,2013,67.55306221646144
14,Jalisco,2014,70.56059624108879
14,Jalisco,2015,73.89217433570965
14,Jalisco,2016,78.70220349967596
14,Jalisco,2017,77.7705767984446
14,Jalisco,2018,68.0796338302009
15,México,2001,67.41129293583927
15,México,2002,73.52762475696694
15,México,2003,79.724967595593
15,México,2004,83.11730395333765
15,México,2005,89.29439403758911
15,México,2006,93.90189565780946
15,México,2007,100.25113415424498
15,México,2008,107.26871354504213
15,México,2009,116.54447504860661
15,México,2010,121.63804277381723
15,México,2011,125.09113739468567
15,México,2012,131.27835385612443
15,México,2013,134.05298120544393
15,México,2014,148.5742060920285
15,México,2015,154.10320803629293
15,México,2016,163.15618924173688
15,México,2017,168.51304277381723
15,México,2018,166.72067401166558
16,Michoacán,2001,24.55646467919637
16,Michoacán,2002,27.341218405703177
16,Michoacán,2003,28.829795852235904
16,Michoacán,2004,31.320884640311082
16,Michoacán,2005,34.27778677900194
16,Michoacán,2006,34.28791315618924
16,Michoacán,2007,35.675226830849
16,Michoacán,2008,38.804277381723914
16,Michoacán,2009,42.30800388852884
16,Michoacán,2010,44.00923525599482
16,Michoacán,2011,43.604180168502914
16,Michoacán,2012,46.13577446532729
16,Michoacán,2013,48.85976992871031
16,Michoacán,2014,48.83951717433571
16,Michoacán,2015,49.80152300712897
16,Michoacán,2016,53.40651328580687
16,Michoacán,2017,52.606529488010366
16,Michoacán,2018,51.20908943616332
17,Morelos,2001,9.599805573558005
17,Morelos,2002,10.825097213220998
17,Morelos,2003,11.05800388852884
17,Morelos,2004,11.898493195074531
17,Morelos,2005,12.738982501620221
17,Morelos,2006,14.399708360337005
17,Morelos,2007,14.359202851587815
17,Morelos,2008,16.698395981853533
17,Morelos,2009,16.050307841866495
17,Morelos,2010,18.683165910563837
17,Morelos,2011,16.8300388852884
17,Morelos,2012,18.90594620868438
17,Morelos,2013,20.32363901490603
17,Morelos,2014,21.002106286454957
17,Morelos,2015,22.288156189241736
17,Morelos,2016,24.87038237200259
17,Morelos,2017,25.305816591056384
17,Morelos,2018,23.462815942968245
18,Nayarit,2001,4.7492709008425145
18,Nayarit,2002,5.923930654569022
18,Nayarit,2003,5.883425145819832
18,Nayarit,2004,6.288480233311731
18,Nayarit,2005,6.57201879455606
18,Nayarit,2006,6.875810110174984
18,Nayarit,2007,7.2099805573558005
18,Nayarit,2008,7.807436811406351
18,Nayarit,2009,8.111228127025276
18,Nayarit,2010,8.668178872326637
18,Nayarit,2011,8.749189889825017
18,Nayarit,2012,8.627673363577447
18,Nayarit,2013,8.860580038885288
18,Nayarit,2014,9.05298120544394
18,Nayarit,2015,9.498541801685029
18,Nayarit,2016,10.359283862605315
18,Nayarit,2017,10.754212572909916
18,Nayarit,2018,8.830200907323396
